"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.76442589867401,0.399294031463637,-1.91444358903127,0.0555635005011053
"ans",0.704377503958265,0.241602209636566,2.91544313695573,0.00355183824844712
