observation,subject_num,picture,correct,rt,conf,frac_conf
673,85,Q2.Isr_edited_ob_6,1,30.084,3,0.75
674,85,Q2.na_edited_hu_1,1,47.5,3,0.75
675,85,Q2.sa_edited_ob_1,0,48.697,3,0.75
676,85,Q2.isr_edited_hu_2,1,30.102,3,0.75
677,85,Q2.Isr_unedited_2,1,48.062,3,0.75
678,85,Q2.as_unedited_1,0,21.404,3,0.75
679,85,Q2.Isr_unedited_4,0,32.546,4,1
680,85,Q2.na_unedited_1,1,44.887,3,0.75
681,86,Q2.Isr_edited_ob_6,1,10.17,4,1
682,86,Q2.af_edited_hu_1,0,25.947,4,1
683,86,Q2.sa_edited_ob_1,0,9.302,4,1
684,86,Q2.isr_edited_hu_2,1,10.644,3,0.75
685,86,Q2.Isr_unedited_1,1,21.205,4,1
686,86,Q2.sa_unedited_1,0,8.563,4,1
687,86,Q2.Isr_unedited_4,1,6.925,4,1
688,86,Q2.na_unedited_1,1,16.85,3,0.75
