"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.15030093848242,0.169128766878538,-0.888677551763624,0.374176398847594
"rt",-0.00708575375576716,0.00638760836924591,-1.10929683633746,0.267302149440943
