"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.63434130824152,0.469910189482925,-1.34992030911169,0.177041546429504
"2","human",1.07924672277295,0.370170538034388,2.91553922282353,0.0035507447233761
"3","logDe",1.42161361367485,0.672199577180171,2.11486835448249,0.0344411690013749
"4","human:israel",-0.320894300006578,0.336298470223629,-0.954194944131598,0.339984973395025
"5","israel:object",-1.15779206688274,0.333507342969284,-3.47156394391402,0.000517436083128832
