exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
159,40,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
160,41,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
161,41,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,4,1,1
162,41,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
163,41,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
164,42,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
165,42,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,1,0.25,1
166,42,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
167,42,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
168,43,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
169,43,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,3,0.75,1
170,43,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
171,43,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
172,44,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
173,44,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
174,44,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
175,44,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
176,45,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,2,0.5,1
177,45,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
178,45,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
179,45,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,2,0.5,1
180,46,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,2,0.5,1
181,46,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,2,0.5,1
182,46,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
183,46,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
184,47,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
185,47,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
186,47,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
187,47,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
188,48,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
189,48,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,2,0.5,1
190,48,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
191,48,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
192,49,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
193,49,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
194,49,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
195,49,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,4,1,1
196,50,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
197,50,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
198,50,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,4,1,1
199,50,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
200,51,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
201,51,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
202,51,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,1,0.25,1
203,51,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
204,52,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,3,0.75,1
205,52,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,4,1,1
206,52,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
207,52,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
208,53,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
209,53,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
210,53,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
211,53,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
212,54,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,2,0.5,1
213,54,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
214,54,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,2,0.5,1
215,54,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
216,55,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,4,1,1
217,55,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
218,55,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
219,55,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
220,56,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,1,0.25,1
221,56,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,1,0.25,1
222,56,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,1,0.25,1
223,56,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,1,0.25,1
224,57,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,3,0.75,1
225,57,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
226,57,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
227,57,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
228,58,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
229,58,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
230,58,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
231,58,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
232,59,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,2,0.5,1
233,59,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,2,0.5,1
